Active,Class_A,Class_B,Class_C,Filter,Comments
TRUE,Kindergarten,Kindergarten,Education,amenity=='kindergarten',
TRUE,Library,Library,Education,amenity=='library',
TRUE,School,School,Education,amenity=='school',
FALSE,Primary School,Primary School,Education,amenity=='school',Can specify with isced:level. Not implemented due to data availability
FALSE,Secondary School,Secondary School,Education,amenity=='school',Can specify with isced:level. Not implemented due to data availability
TRUE,Dentist,Dentist,Healthcare,amenity=='dentist',
TRUE,Doctor,Doctor,Healthcare,amenity=='doctors',
FALSE,Specialist,Specialist,Healthcare,amenity=='doctors' & !is.na(healthcare:speciality),Can specify with healthcare:speciality and healthcare keys. Not implemented due to data availability
FALSE,General Practitioner,General Practitioner,Healthcare,amenity=='doctors',Can specify with healthcare:speciality and healthcare keys. Not implemented due to data availability
FALSE,Hospital,Healthcare Facility,Healthcare,amenity=='hospital',
FALSE,Clinic,Healthcare Facility,Healthcare,amenity== 'clinic',
TRUE,Pharmacy,Pharmacy,Healthcare,amenity=='pharmacy',
FALSE,Veterinary,Veterinary,Healthcare,amenity=='veterinary',
TRUE,Post Office,Post Office,Commerce,amenity=='post_office',the post:office tag can identify shops which offer postal services. This isn't widely used though. It also complicates the classification procedure because some features would then represent 2 POIs (e.g. kiosk and post point)
TRUE,ATM,Bank_ATM,Commerce,amenity=='atm',
TRUE,Bank,Bank_ATM,Commerce,amenity=='bank',
TRUE,Cafe,Cafe,Entertainment,amenity=='cafe',"classification prioritized before bakeries, pastry shops"
TRUE,Health Food Store,Other Food Stores,Commerce,shop == 'health_food',
TRUE,Greengrocer,Other Food Stores,Commerce,shop=='greengrocer',
FALSE,International Supermarket,Other Food Stores,Commerce,shop=='supermarket' & !is.na(origin),origin tag isn't common enough for meaningful implementation
TRUE,Supermarket,Supermarket,Commerce,shop=='supermarket',
TRUE,Bakery,Bakery,Commerce,shop=='bakery',
TRUE,Beverages,Other Food Stores,Commerce,shop=='alcohol'| shop=='beverages' | shop == 'wine',
TRUE,Butcher,Other Food Stores,Commerce,shop=='butcher',
TRUE,Deli,Other Food Stores,Commerce,shop == 'deli',
TRUE,Seafood Store,Other Food Stores,Commerce,shop == 'seafood',
TRUE,Pastry Shop,Bakery,Commerce,shop == 'pastry',
FALSE,Confectionery,Other Food Stores,Commerce,shop == 'confectionery' | shop== 'chocolate',
FALSE,Ice Cream Shop,Other Food Stores,Commerce,amenity == 'ice_cream' | shop == 'ice_cream',combine with cafes?
FALSE,Marketplace,Other Food Stores,Commerce,amenity=='marketplace',
FALSE,Clothing Store,Clothes,Commerce,shop=='clothes',
FALSE,Department Store,Clothes,Commerce,shop=='department_store',
FALSE,Shoe Store,Clothes,Commerce,shop=='shoes',
FALSE,Tailor,Clothes,Commerce,shop == 'tailor',
FALSE,Electronics Store,Durable Goods,Commerce,shop == 'electronics',
FALSE,Bag Store,Durable Goods,Commerce,shop == 'bag',
FALSE,Second Hand Store,Durable Goods,Commerce,shop == 'second_hand' | shop == 'charity',
FALSE,Houseware Store,Durable Goods,Commerce,shop == 'houseware',
FALSE,Bicycle Store,Durable Goods,Commerce,shop=='bicycle',
FALSE,Book Store,Durable Goods,Commerce,shop=='books',
FALSE,Computer Store,Durable Goods,Commerce,shop=='computer',
FALSE,DIY Store,Durable Goods,Commerce,shop=='doityourself'| shop=='hardware',
FALSE,Interior Decoration Store,Durable Goods,Commerce,shop=='furniture' | shop == 'interior_decoration' | shop == 'carpet' | shop == 'curtain' | shop == 'lighting',
FALSE,Gift Store,Durable Goods,Commerce,shop=='gift',
FALSE,Jewelry Store,Durable Goods,Commerce,shop=='jewelry',
FALSE,Mobile Phone Store,Durable Goods,Commerce,shop=='mobile_phone',
FALSE,Optician,Durable Goods,Commerce,shop=='optician',
FALSE,Hearing Aid Store,Durable Goods,Commerce,shop == 'hearing_aids',
FALSE,Outdoor Store,Durable Goods,Commerce,shop=='outdoor',
FALSE,Sports Store,Durable Goods,Commerce,shop=='sports',
FALSE,Toys Store,Durable Goods,Commerce,shop=='toys',
TRUE,Hairdresser,Hairdresser,Commerce,shop=='hairdresser',
FALSE,Laundromat,Laundry,Commerce,shop=='laundry'| shop=='dry_cleaning',
TRUE,Chemist,Chemist,Commerce,shop=='chemist',separate classification?
FALSE,Beauty Store,Non-durable Goods,Commerce,shop=='beauty',
FALSE,Cosmetics Store,Non-durable Goods,Commerce,shop == 'cosmetics',
FALSE,Perfumery,Non-durable Goods,Commerce,shop == 'perfumery',
FALSE,Copy Shop,Non-durable Goods,Commerce,shop == 'copyshop',
FALSE,Massage Shop,Non-durable Goods,Commerce,shop == 'massage',
FALSE,Pet Store,Non-durable Goods,Commerce,shop == 'pet',
FALSE,Variety Store,Non-durable Goods,Commerce,shop == 'variety_store',
FALSE,Florist,Non-durable Goods,Commerce,shop=='florist',
FALSE,Garden Centre,Non-durable Goods,Commerce,shop=='garden_centre',
TRUE,General Store,Convenience Store,Commerce,shop=='general',
TRUE,Convenience Store,Convenience Store,Commerce,shop=='convenience',separate classification for convenience?
FALSE,Kiosk,Convenience Store,Commerce,shop=='kiosk',
FALSE,Newsagent,Non-durable Goods,Commerce,shop=='newsagent',
FALSE,Stationery Store,Non-durable Goods,Commerce,shop=='stationery',
TRUE,Place of Worship,Place of Worship,Living,amenity == 'place_of_worship',
FALSE,Museum,Attraction,Entertainment,tourism=='museum',
FALSE,Theme Park,Attraction,Entertainment,tourism=='theme_park',
FALSE,Zoo,Attraction,Entertainment,tourism=='zoo',
FALSE,Arts Centre,Attraction,Entertainment,amenity=='arts_centre',
FALSE,Cinema,Attraction,Entertainment,amenity=='cinema',
FALSE,Theatre,Attraction,Entertainment,amenity=='theatre',
FALSE,Stadium,Attraction,Entertainment,leisure=='stadium',
FALSE,Bar,Outgoing,Entertainment,amenity=='bar',
FALSE,Nightclub,Outgoing,Entertainment,amenity=='nightclub',
TRUE,Pub,Restaurant,Entertainment,amenity=='pub',
TRUE,Biergarten,Restaurant,Entertainment,amenity=='biergarten',
TRUE,Fast Food,Restaurant,Entertainment,amenity=='fast_food',
TRUE,Food Court,Restaurant,Entertainment,amenity=='food_court',
TRUE,Restaurant,Restaurant,Entertainment,amenity=='restaurant',
TRUE,Golf Course,Sports Facility,Entertainment,leisure=='golf_course',
TRUE,Ice Rink,Sports Facility,Entertainment,leisure=='ice_rink',
TRUE,Pitch,Sports Facility,Entertainment,leisure=='pitch',
TRUE,Fitness Station,Sports Facility,Entertainment,leisure == 'fitness_station',
TRUE,Fitness Centre,Sports Facility,Entertainment,leisure == 'fitness_centre',
TRUE,Track,Sports Facility,Entertainment,leisure == 'track',
TRUE,Sports Centre,Sports Facility,Entertainment,leisure=='sports_centre',
TRUE,Sports Hall,Sports Facility,Entertainment,leisure == 'sports_hall',
TRUE,Tennis,Sports Facility,Entertainment,sport=='tennis',
TRUE,Water Park,Sports Facility,Entertainment,amenity=='swimming_pool'| leisure=='swimming_pool'| sport=='swimming'| leisure=='water_park',
FALSE,Coworking Space,Office,Employment,amenity=='coworking_space' | office == 'coworking',
FALSE,Office,Office,Employment,!is.na(office) & (is.na(healthcare) & is.na(healthcare:speciality)),exclude incorrectly labeled doctors offices
TRUE,Railway Stop,Rail Service Stop,Public Transportation,railway=='station' | railway == 'halt' | (public_transport == 'stop_position' & train == 'yes'),
TRUE,Tram Stop,Rail Service Stop,Public Transportation,railway == 'tram_stop' |(public_transport == 'stop_position' & tram == 'yes'),
TRUE,Bus Stop,Bus Stop,Public Transportation,amenity == 'bus_station' | highway == 'bus_stop' | (public_transport == 'stop_position' & bus == 'yes'),
TRUE,Community Centre,Community Centre,Living,amenity=='community_centre',
TRUE,Dog Park,Park,Living,leisure=='dog_park',
TRUE,Playground,Playground,Living,leisure=='playground',
TRUE,Recreation Ground,Park,Living,leisure=='recreation_ground' | landuse =='recreation_ground',
TRUE,Park,Park,Living,leisure=='park',
TRUE,Park,Park,Living,leisure=='park'| leisure=='common',
TRUE,Forest,Park,Living,landuse=='forest'| natural =='wood',
FALSE,Bench,Bench,Walkability,amenity=='bench',
FALSE,Drinking Water,Drinking Water,Walkability,amenity=='drinking_water',
FALSE,Fountain,Fountain,Walkability,amenity=='fountain',
FALSE,Toilets,Toilet,Walkability,amenity=='toilets',
FALSE,Waste Basket,Waste basket,Walkability,amenity=='waste_basket',
